"8gram","number of tweets","count"
"总统候选人侯友宜","17","17"
"台湾在野的国民党","16","16"
"民党总统候选人侯","15","15"
"国民党总统候选人","15","15"
"党总统候选人侯友","15","15"
"民众党总统候选人","13","13"
"总统候选人柯文哲","13","13"
"党总统候选人柯文","13","13"
"众党总统候选人柯","13","13"
"菲律宾总统小马可","10","10"
"律宾总统小马可斯","10","10"
"野的国民党总统候","7","7"
"的国民党总统候选","7","7"
"湾在野的国民党总","7","7"
"总统候选人赖清德","7","7"
"在野的国民党总统","7","7"
"进党总统候选人赖","6","6"
"民进党总统候选人","6","6"
"总统候选人赵少康","6","6"
"国国家主席习近平","6","6"
"副总统候选人赵少","6","6"
"党总统候选人赖清","6","6"
"中国国家主席习近","6","6"
"美国联邦航空管理","5","5"
"美国前总统特朗普","5","5"
"统候选人柯文哲说","5","5"
"本石川县能登半岛","5","5"
"日本石川县能登半","5","5"
"国联邦航空管理局","5","5"
"党副总统候选人赵","5","5"
"阿拉斯加航空公司","4","4"
"野的国民党副总统","4","4"
"芯片制造商英伟达","4","4"
"美国阿拉斯加航空","4","4"
"美国证券交易委员","4","4"
"美国芯片制造商英","4","4"
"美国歌坛天后泰勒","4","4"
"的国民党副总统候","4","4"
"湾在野的国民党副","4","4"
"民党副总统候选人","4","4"
"枚中国大陆探空气","4","4"
"家安全顾问沙利文","4","4"
"地缘政治紧张局势","4","4"
"在野的国民党副总","4","4"
"国际货币基金组织","4","4"
"国证券交易委员会","4","4"
"国电动汽车制造商","4","4"
"国民党副总统候选","4","4"
"国歌坛天后泰勒丝","4","4"
"国家安全顾问沙利","4","4"
"台湾执政的民进党","4","4"
"台湾在野的民众党","4","4"
"台湾前总统马英九","4","4"
"也门胡塞武装组织","4","4"
"中国电动汽车制造","4","4"
"中国大陆探空气球","4","4"
"中国外交部长王毅","4","4"
"中国外交部发言人","4","4"
"全国人民代表大会","3","7"
"鸿海创办人郭台铭","3","3"
"首席执行官马斯克","3","3"
"部石川县能登半岛","3","3"
"表大会常务委员会","3","3"
"能登半岛地震死亡","3","3"
"美国科技巨头苹果","3","3"
"美国国家运输安全","3","3"
"美国国家安全顾问","3","3"
"美国国务卿布林肯","3","3"
"缘政治紧张局势的","3","3"
"统与立法委员选举","3","3"
"纳斯达克综合指数","3","3"
"红海局势持续升温","3","3"
"禁止進口日本水産","3","3"
"石川县能登半岛地","3","3"
"的民众党总统候选","3","3"
"登半岛地震死亡人","3","3"
"特斯拉首席执行官","3","3"
"湾民进党总统候选","3","3"
"湾总统和立委选举","3","3"
"湾候任总统赖清德","3","3"
"湾中央选举委员会","3","3"
"泡沫經濟崩潰後的","3","3"
"民进党主席赖清德","3","3"
"民代表大会常务委","3","3"
"比亞迪按季度計算","3","3"
"止進口日本水産品","3","3"
"槟州首席部长曹观","3","3"
"机在东京羽田机场","3","3"
"本中部石川县能登","3","3"
"朝鲜领导人金正恩","3","3"
"日本首相岸田文雄","3","3"
"日本工作的外國人","3","3"
"日本中部石川县能","3","3"
"日本东京电力公司","3","3"
"斯拉首席执行官马","3","3"
"斯坦激进组织哈马","3","3"
"数以十亿美元计的","3","3"
"拉首席执行官马斯","3","3"
"成为全球最大电动","3","3"
"意揣测和无端指责","3","3"
"恶意揣测和无端指","3","3"
"总统与立法委员选","3","3"
"微软创办人比尔盖","3","3"
"巴勒斯坦激进组织","3","3"
"州首席部长曹观友","3","3"
"川县能登半岛地震","3","3"
"家运输安全委员会","3","3"
"大陆探空气球星期","3","3"
"坦激进组织哈马斯","3","3"
"在能登半岛地震中","3","3"
"在日本工作的外國","3","3"
"国芯片制造商英伟","3","3"
"国家运输安全委员","3","3"
"国大陆探空气球星","3","3"
"国国家运输安全委","3","3"
"国国家安全顾问沙","3","3"
"国人民代表大会常","3","3"
"台湾民进党总统候","3","3"
"台湾总统大选进入","3","3"
"台湾总统和立委选","3","3"
"台湾候任总统赖清","3","3"
"台湾中央选举委员","3","3"
"县能登半岛地震死","3","3"
"半岛地震死亡人数","3","3"
"勒斯坦激进组织哈","3","3"
"共中央政治局委员","3","3"
"全球最大电动汽车","3","3"
"代表大会常务委员","3","3"
"今年农历新年期间","3","3"
"人民代表大会常务","3","3"
"中部石川县能登半","3","3"
"中共总书记习近平","3","3"
"中共中央政治局委","3","3"
"人民代表大会代表","2","4"
"民代表大会代表职","2","3"
"国人民代表大会代","2","3"
"代表大会代表职务","2","3"
"鲜最高领导人金正","2","2"
"高领导人金正恩的","2","2"
"驻马大使欧阳玉靖","2","2"
"驻联合国大使黑利","2","2"
"马逊创始人兼执行","2","2"
"马斯政治局副主席","2","2"
"马奋斗史为主题的","2","2"
"香港旅游业逐步复","2","2"
"香港旅游业界提议","2","2"
"香港国泰航空公司","2","2"
"首都曼谷空气污染","2","2"
"首相拿督斯里安华","2","2"
"首次躋身世界前十","2","2"
"首次成为中国最畅","2","2"
"首席执行官黄仁勋","2","2"
"首席执行官周受资","2","2"
"飞行途中发生部分","2","2"
"飞机在东京羽田机","2","2"
"飞机制造商空中客","2","2"
"飞往新加坡参加航","2","2"
"飛往日本和中國的","2","2"
"额和盈利都超出了","2","2"
"领导人金正恩的指","2","2"
"预期的看法均出现","2","2"
