"2021-11-23","1463238509175590913","联合早报 Lianhe Zaobao","RT @zaobaosg: 美国10月份的通胀率达到了30年来最高水平，美国总统拜登把扭转通货膨胀列为当务之急。美国物价受压的一大问题是港口拥堵带来的供应链瓶颈，拜登会如何以对？阅读全文：https://t.co/rg7LauryID#zaobaosg #拜登 #通货膨胀…"
"2021-11-22","1462643196932984834","日经中文网","RT @rijingzhongwen: 【美国通胀加剧或持续至“2022年中期”】通货膨胀压力的持续性已成为金融市场的最大主题。在发达国家之中，美国的通货膨胀压力尤其突出，主要原因是从新冠疫情中复苏，耐用品等商品消费出现激增……https://t.co/pSlDDLNIcF"
"2021-11-22","1462652902128832513","FTChinese","RT @FTChinese: 【现在需要担心通货膨胀吗？】对于价格上涨是暂时的还是永久性的，政策制定者存在分歧。错误的回应可能会破坏经济复苏。https://t.co/LsBoPgApZg https://t.co/oy9uu7NpUT"
"2021-11-16","1460622655791321093","日经中文网","RT @rijingzhongwen: 【全球物价上涨是暂时的吗？】全球正在迎来物价上涨的浪潮，美国10月物价指数涨幅创31年来新高。焦点是物价走高是供应制约导致的暂时性现象，还是结构性的通货膨胀压力。结构性通货膨胀压力也在变得明显，其中之一是中美关系导致的供应链中断……ht…"
"2021-11-13","1459585929119551496","联合早报 Lianhe Zaobao","RT @zaobaosg: 【字述一年邀你来 #聊天】回顾2011年，那是个通货膨胀，物价上涨，让人们感到荷包缩水的一年，因此，”涨“字成为当年最具代表的汉字。⏫ 图文解说了小编所理解的“涨”字，你又如何定义“涨”字呢？【马上去参与《 #字述一年》有奖游戏】👉https:…"
"2021-11-01","1455259262590992386","华尔街日报中文网","RT @ChineseWSJ: 大宗商品价格往往会随着通货膨胀一同上涨，可以起到帮助投资者抵御通胀的作用，但有可能成为一个自我强化的循环。分析师说：“人们购买石油的行为刺激了通胀预期，而通胀预期的升温反过来又强化了购买石油的动机。”https://t.co/nRRmCjAQ0S"
"2021-10-29","1453918268935204864","日经中文网","RT @rijingzhongwen: 【美国三季度GDP增速放缓至2.0%，年底或好转】作为美国经济火车头的个人消费复苏缓慢，不仅是容易受疫情影响的服务业，此前旺盛的商品消费也浮现阴影。秋季以后消费恢复势头，但由于供应制约和通货膨胀的长期化拖后腿的隐忧，美国经济的复苏力度受到…"
"2021-10-28","1453611323762221066","日经中文网","RT @rijingzhongwen: 【“去中心化金融”兴起，货币未来几何？】去中心化金融（DeFi）是指使用区块链技术、不经过金融机构等中介的金融服务。加密资产买卖及贷款等市场规模达到约1000亿美元，1年内猛增至约5倍。DeFi的膨胀迫使现有的高成本集中型金融秩序发生变革…"
"2021-10-14","1448547311412416514","联合早报 Lianhe Zaobao","RT @zaobaosg: 阿根廷政府周三（13日）说，在该国下个月即将举行国会选举之际，它与零售商达成协议，将1247种食品和家庭产品的价格冻结90天，以对抗通货膨胀。 https://t.co/gMkUZypjz7"
"2021-08-30","1432213922744987648","日经中文网","RT @rijingzhongwen: 【美国年内缩减量化宽松，全球或迎来拐点】美联储主席鲍威尔明确指出了开始缩减量化宽松的时间。世界各国已迅速采取行动。为了遏制通货膨胀，俄罗斯、巴西、墨西哥等新兴国家提高了利率。全球的大规模货币宽松政策将走向修正方向……https://t.c…"
